State,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.AL,US,Electricity/Heat ,CO2,51.40043408,55.39282145,58.24122523,64.00876386,59.93343314,65.56890104,70.84049387,69.03401845,71.10067433,72.38663081,77.408082,74.53907022,78.17161343,79.07310034,78.52031321,82.27707092,84.41416304,86.70804638,81.79675475,66.94649649,77.36617695,74.54029703,66.92962203,64.69763038,65.52423808,62.35938652,55.57141261,50.9876689,53.85191766,48.46056407,42.68730289
USA.AL,US,Residential,CO2,3.09647583,3.020197404,3.207651051,3.426528627,3.30647828,3.317917547,3.732199359,3.349171232,3.113182137,3.323638193,3.670025225,3.540601373,3.249314597,3.086776886,2.981699268,2.718361993,2.504393016,2.373408601,2.527860968,2.495462179,2.860476245,2.345758844,1.755570572,2.186837431,2.427207037,2.129381433,1.8667681,1.73793465,2.253695597,2.046571599,1.902103291
USA.AL,US,Commercial,CO2,2.436723445,2.002134292,2.110462299,2.055022093,2.057729282,1.965181506,2.165308002,2.421517566,1.905414826,2.191979833,2.255832894,2.167237747,1.995448713,2.106044947,2.159176952,1.845689376,2.223191738,1.986131169,2.002282857,1.892471262,2.115067465,2.0514734,1.782093927,1.831924947,1.929590466,2.135587285,2.183151896,2.082227812,2.325767472,2.202813332,2.046801536
USA.AL,US,Industry,CO2,16.16089246,16.6346369,19.25078408,18.14409856,19.0583042,19.9174332,20.5377206,20.26265495,19.13705213,19.67668308,19.34955163,17.1190752,17.37621453,18.45396825,19.36353892,17.75996307,17.14936328,16.25581803,16.16765094,13.68680264,14.3742617,14.78138782,16.60055933,16.7927912,16.90653754,16.85058376,16.56398044,16.36498468,17.40861209,16.58492993,15.48188169
USA.AL,US,Transportation ,CO2,26.70170361,26.95424279,27.85285813,27.98429772,29.38737646,30.84209886,30.28402652,29.97376649,30.97322823,31.40404555,32.5351328,30.85516335,32.39832714,31.84072353,33.80612441,33.81302718,34.43308649,34.99188882,32.06958196,31.31138765,31.46818418,31.62401872,31.20763578,30.87848315,30.72689356,31.83338246,33.45892288,33.05379287,32.39052727,33.2901625,33.23889012
USA.AL,US,Land-Use Change and Forestry ,CO2,-63.24,-63.43,-63.15,-69.56,-70.64,-69.46,-69.9,-68.9,-68.76,-68.65,-69.3,-68.68,-69.51,-69.65,-69.96,-70.46,-71.39,-71.34,-71.59,-72.04,-72.37,-74.04,-75.18,-74.85,-75.13,-76.2,-76.45,-75.9,-75.21,-74.5,-75.34
USA.AL,US,Fugitive Emissions ,CO2,0.093486916,0.106349412,0.087399882,0.08703652,0.128163646,0.142075742,0.089942233,0.075729188,0.070963597,0.052569526,0.061145384,0.050249822,0.064255494,0.077772804,0.111908824,0.120074882,0.170173267,0.114407101,0.086708785,0.120230477,0.12576586,0.174490848,0,0,0,0,0,0,0,0,0
USA.AL,US,Agriculture ,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA.AL,US,Waste ,CO2,0.033,0.056,0.169,0.114,0.115,0.118,0.129,0.134,0.138,0.147,0.145,0.164,0.181,0.143,0.101,0.114,0.121,0.107,0.098,0.061,0.067,0.068,0.069,0.071,0.073,0.075,0.078,0.079,0.083,0.083,0.083
USA.AL,US,Bunker Fuels ,CO2,1.460119599,1.794960104,1.587652211,1.445418842,1.26130735,1.310858634,1.274507025,1.201747281,0.799964748,0.74213981,1.156776042,0.64831124,1.0724285,0.897096286,1.269487599,1.026446672,1.040882546,0.793072319,0.887551025,0.744064901,0.868900932,0.795362232,0.734154365,0.588927997,0.693777648,0.60084344,0.699133677,0.718978476,0.636393013,0.623295048,0.448397759
USA.AL,US,Electricity/Heat ,CH4,0.031766025,0.032846322,0.032715703,0.034426736,0.032394118,0.032019676,0.033091769,0.031551886,0.032071965,0.028036198,0.023214713,0.022950439,0.023931793,0.023859443,0.024076946,0.025066702,0.026252009,0.027159886,0.025675374,0.023334312,0.026865964,0.026295894,0.024280111,0.023167832,0.0239718,0.023289324,0.021812061,0.020213615,0.020634403,0.016951068,0.015208942
