No.,Title,Abstracts
1,Greenhouse gases trade-off from ponds: an overview of emission process and their driving factors,"Inland water bodies (particularly ponds) emit a significant amount of greenhouse gases (GHGs), particularly methane (CH4), carbon dioxide (CO2), and a comparatively low amount of nitrous oxide (N2O) to the atmosphere. In recent decades, ponds (<10,000 m2) probably account for about 1/3rd of the global lake perimeter and are considered a hotspot of GHG emissions. High nutrients and waterlogged conditions provide an ideal environment for CH4 production and emission. The rate of emissions differs according to climatic regions and is influenced by several biotic and abiotic factors, such as temperature, nutrients (C, N, & P), pH, dissolved oxygen, sediments, water depth, etc. Moreover, micro and macro planktons play a significant role in CO2 and CH4 emissions from ponds systems. Generally, in freshwater bodies, the produced N2O diffuses in the water and is converted into N2 gas through different biological processes. There are several other factors and mechanisms which significantly affect the CH4 and CO2 emission rate from ponds and need a comprehensive evaluation. This study aims to develop a decisive understanding of GHG emissions mechanisms, processes, and methods of measurement from ponds. Key factors affecting the emissions rate will also be discussed. This review will be highly useful for the environmentalists, policymakers, and water resources planners and managers to take suitable mitigation measures in advance so that the climatic impact could be reduced in the future."
2,Well-to-wheel greenhouse gas emissions of electric versus combustion vehicles from 2018 to 2030 in the US,"Electric vehicles (EVs) can reduce transportation-related greenhouse gas (GHG) emissions, given the planned electric grid decarbonization. Regulations can also reduce internal combustion engine vehicle's (ICEVs) emissions by mandating increased fuel economies or ethanol-gasoline mixes. Factors such as fuel economy, electricity grid mix, vehicle choice, and temperature affect EV GHG emissions relative to ICEVs, and successfully decarbonizing the transportation sector depends on understanding their combined effects. We use life-cycle assessment to compare the EV and ICEV well-to-wheel GHG emissions in the United States and four other states from 2018 to 2030. We found lower emissions for EVs than ICEVs in most conditions considered. In New York state, where natural gas power plants replace nuclear energy, GHG emissions of electricity generation increase over time after 2020. Future ICEVs can have comparable emissions to EVs due to fuel economy increase. Therefore, EV and ICEV can together lower transportation GHG emissions at a faster pace."
3,Characteristics of greenhouse gas emissions from farmland soils based on a structural equation model: Regulation mechanism of biochar,"Greenhouse gas (GHG) emissions from soil carbon and nitrogen cycles during freeze-thaw cycles (FTCs) provide positive feedback to climate warming. Biochar is a new type of soil conditioner that shows potential in soil GHG emissions reduction. To explore the mechanisms of the effects of biochar on soil GHG emissions in seasonally frozen soil areas, this study focused on farmland soil in the Songnen Plain. Variations in soil environmental factors, available carbon and nitrogen and microbial biomass were analyzed using an indoor simulation of soil FTCs. A structural equation model (SEM) was established to reveal the key driving factors and potential mechanism of biochar on soil GHG emissions under FTCs. The results showed that biochar increased carbon dioxide (CO2) emissions by 3.40% and methane (CH4) absorption by 2.52% and decreased nitrous oxide (N2O) emissions by 35.90%. SEM showed that soil temperature (ST) was the main environmental factor determining CO2 emissions and that soil moisture (SM) was the main environmental factor determining CH4 and N2O emissions. Soil available carbon and nitrogen and microbial biomass are important for soil GHG emissions as the reaction substrates and main participants in the biochemical transformation of soil carbon and nitrogen, respectively. This study showed that the application of biochar in farmland is a feasible choice to address climate change in the long term via soil carbon sequestration and GHG emissions reduction. The research results provide a theoretical basis and scientific guidance for soil GHG emissions reduction during FTCs in middle to high latitudes."
4,The role of renewable energy and urbanization towards greenhouse gas emission in top Asian countries: Evidence from advance panel estimations,"The increasing greenhouse gas (GHG) emission and environmental degradation (ED) is a serious concern for the various economies, and a similar issue is observed in Asia. This paper investigated the role of clean energy from renewable sources, urbanization, and economic growth in determining the level of GHG emissions from 1995 to 2018 for ten Asian States through a cross-sectional autoregressive distributed lagged (CS-ARDL) model. Meanwhile, the current research also examined the cross-sectional dependence, unit root properties, and co-integration between the study variables. The study findings confirmed that clean energy and GDP2 played their constructive role in reducing GHG emissions in the natural environment or targeted economies. In contrast, urbanization and economic growth caused more GHG emissions both in the long and short run. Furthermore, the robust check through augmented mean group (AMG) and common correlated effect means group (CCEMG) also confirmed that clean energy and GDP2 have a good sign for lowering ED compared to GDP and urbanization. The study findings could support policymakers, specifically in the field of energy economics and environmental sustainability. Therefore, it is highly recommended that some strong policy implications are needed to reduce environmental issues through controlling the negative impact of economic growth and urbanization. This study contributes in the literature of GHG emission with respect to economic growth, urbanization and clean energy and guided the regulators while formulating policies related to control the GHG emission."
5,"How do green energy investment, economic policy uncertainty, and natural resources affect greenhouse gas emissions? A Markov-switching equilibrium approach","Energy efficiency has enormous potential for boosting economic development while simultaneously reducing greenhouse gas emissions. Energy efficiency improvements are widely accepted as a necessary corollary of China's decarbonisation efforts. This study analysed key factors in green energy investment and its determinants, i.e. natural resources and uncertainty of economic policy on greenhouse gas emissions, from 1987 to 2019. This work conduct a thorough empirical analysis and used innovative econometric techniques, such as the Markov-switching equilibrium correction model for long-run estimation and the kernel-based regularised least squares machine-learning approach, to establish the direction of causality for the variables in this study. The results indicate that green energy investment is significantly correlated with greenhouse gas emissions and helps to support environmental quality. However, although natural resources and economic policy uncertainty support economic growth, they are harmful to environmental quality. This conclusion implies that the Chinese government should exploit green energy investment to strengthen environmental performance as its long-term strategy."
6,How urbanization and ecological conditions affect urban diet-linked GHG emissions: New evidence from China,"Unprecedented urbanization is dramatically altering habitual food consumption in urban China, and consequently affecting diet-linked greenhouse gas emissions (DGHGEs). Building on the representative resident survey data from the China Health and Nutrition Survey, this study analyzed urban food consumption profiles and related GHG emissions from a life cycle perspective. Moreover, a CATREG (Categorical Regression) model was conducted to identify influencing factors. Results show that urban residents in China generate an average of 2.92 kg CO2e/capita/day, with 1.06 kg of foods consumed. Meat consumption has a dominant role in urban DGHGEs and is the main driver of variation in the DGHGEs. Urbanization level and most demographic factors with regard to household and individual characteristics have significant impacts on urban DGHGEs. However, the resident's awareness of the Chinese Dietary Guideline dose not significantly contribute to promoting low-GHG urban diets. A novel result of this analysis is that local ecological conditions, including geographical climate and resource endowments, have evident effects on urban food consumption and the related GHG emissions, despite the fact that urban areas heavily rely on food resources imported from other regions. Our findings offer knowledge-based inspiration geared to sustainable urban food consumption for both China and other developing countries."
7,The greenhouse gas footprints of China's food production and consumption (1987–2017),"As China urbanized and its economy grew rapidly, its food production and consumption patterns changed dramatically over the past three decades. With this in mind, we evaluate how the nation's greenhouse gas (GHG) emissions related to food production and consumption altered from 1987 to 2017. We further explore key factors that affect GHG emission changes from agricultural production and household diet perspectives. We find that the GHG emissions from China's food production rose 51 percent, while that from food consumption rose 64 percent. The rise in GHG footprint of China's food production was largely caused by the increasing material- and energy-intensive food production system. Agricultural modernization was a main cause of the rise in GHGs, as China was late to the game in improving agricultural productivity. But a more meat-intensive diet accompanied by a general rise in households' use of processed food also helped to drive these transformations. China's growing appetite for meat not only intensified GHG mitigation pressures domestically, but also abroad, as Chinese households began to demand greater variety that was satisfied via imports. Indeed, GHG emissions embodied in imported meats rose over eleven-fold from 2007 to 2017. Through this study, we highlight the importance of future policy-making focused on a more sustainable food system in China to benefit the world's environment, health, and climate."
8,Factors affecting the emission of pollutants in different types of transportation: A literature review,"Given the importance of the environment around the world and its accelerating destruction brought on by the increase in emissions resulting from the growing use of various forms of transportation, this paper shall aim to eliminate this research gap via a thorough investigation of the literature. These goals include the effect of greenhouse gases emitted by the transportation industry on the environment, the impact of pollutants on transportation mode choice, a study of the obstacles to reducing pollution in transportation, and the presentation of solutions and suggestions. In the research, papers related to this topic in various transportation industries, including road, rail, marine, air, and multimodal transportation, and the variables affecting the control of greenhouse gas emissions in any mode of transportation were collected. Afterward, fundamental analysis was carried out, conclusions drawn, and the presentation of suggestions and solutions in this area addressed. Reducing greenhouse gases in transportation is a challenge that requires examining numerous influential variables and factors. The studies presented in this research are expected to be useful, especially for the energy activists, researchers, and policymakers who would like to conduct long-term studies of pollutants in the transportation industry and the variables influencing the control of greenhouse gas emissions."
9,Organic amendments increase crop yield while mitigating greenhouse gas emissions from the perspective of carbon fees in a soybean-wheat system,"Organic amendment often affects both crop yield and greenhouse gas (GHG) emission. Yet the impact of organic amendment on yield gains and GHG emissions is still unclear, particularly in long-term soybean-wheat cropping system. Based on a 30-year soybean-wheat cropping system experiment, the impact of organic amendments (i.e. straw and manure) on soil properties, crop yield, N2O and CH4 emissions, and net ecosystem economic budget (NEEB) were investigated. The treatments were: chemical NPK fertilizer (NPK), chemical NPK plus low amount of wheat straw (NPKLS), chemical NPK plus high amount of wheat straw (NPKHS), chemical NPK plus pig manure (NPKPM), chemical NPK plus cattle manure (NPKCM), and a control with no fertilizer applied (CK). The long-term straw and manure amendments enhanced soybean yield by 13.1% and 44.0%, and improved wheat yield by 6.4% and 9.9%, respectively. Meanwhile, they stimulated N2O emissions by 25.1% and 49.0% respectively, without significant effect on CH4 emissions, compared to the chemical NPK fertilizer treatment (NPK). The results of structural equation model showed that soil properties tested explained 76% of the variations observed in N2O emissions, which were directly affected by soil nitrification capacity, pH and denitrification capacity. Although straw and manure amendments increased the total GHG emissions investigated by 25.7% and 48.6% respectively, they showed insignificant effects on the greenhouse gas intensity (GHGI), and increased NEEB by 8.6% and 21.1%, respectively, compared to the NPK treatment. This indicates that the benefits arising from crop yield improvement through the use of organic amendments can cover the carbon fees caused by increased GHG emissions. Our findings suggest that organic amendment can be an effective strategy to simultaneously increase crop yield while mitigating greenhouse gas emissions from the perspective of carbon fees."
10,The Impact of Renewable Energy Sources on the Sustainable Development of the Economy and Greenhouse Gas Emissions,"Growing population and limited energy resources have impacted energy consumption. Limited fossil fuel resources and increased pollution threaten national and human societies. These elements emphasize energy sources. Renewable energy use affects growth. All new energy sources, including renewables, are crucial for global economic growth. Economic and environmental issues have led to new approaches in international environmental law, including the green economy. This study employs structural vector auto-regression (SVAR) to compare the effects and outcomes of increasing the use of renewable energy in the context of economic growth and greenhouse gas emissions in middle income countries (MICs) and high income countries (HICs). The results show that these indicators demonstrate that the production of energy from renewable sources has positive short-term and long-term economic effects with varying contributions. However, renewable energies have a greater impact on the green economy in selected MICs than in selected HICs. Therefore, the promotion of macroeconomic indicators is viewed as one of the reasons for the development of policies to increase energy production from renewable sources in selected countries."
