Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Indonesia,IDN,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,35000,15000,5000,3000,800,150,350,2800,4500,23000,4600,27000,
Indonesia,IDN,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,9.950248718,,30.84577179,,31.84079552,31.3432827,33.65384674,36.05769348,36.53845978,39.42307663,41.34615326,40.75829315,38.86256027,41.31455231,44.13145447,43.19248962,46.79803085,46.30541992,44.82758713,42.8571434,42.99517059,42.99517059,40.57971191,44.92753601,
Indonesia,IDN,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,,,,,,50.77951002,55.55555556,72.52747253,80.70175439,64.92890995,76.65876777,86.76056338,93.71804237,86.82666667,86.53536977,89.12119064,89.97345916,94.14646725,97.75641026,97.88468738,95.69792634,97.87985866,98.04147465,97.75401627,98.30063326,98.41460908,81.07166274,78.49194369,38.57172183,35.76878454,50.99764021,50.6701184,55.34322088,48.59913158,43.17551322,37.51526744,36.08052611,40.83122907,44.7700808,49.84450848,49.48331904,53.27123475,53.87354379,54.70875932,23.53857212,3.857381067,29.20280814
Indonesia,IDN,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,,,,,,449000000,504000000,546000000,570000000,844000000,844000000,1065000000,1369000000,1875000000,2488000000,2822000000,3391000000,3878000000,4680000000,5342000000,6462000000,6792000000,4340000000,4452392000,5060708660,5361453700,6519008950,5143235559,12438718769,12642026733,8721936675,10550814108,13330257033,11518551711,16115396968,21315721939,23069563555,22333843674,22919575622,21589041175,22645338406,24665052782,30489536577,30910487229,14367355827,13499903076,23006389919
Indonesia,IDN,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,582400000,770000000,667600000,680600000,709400000,693700000,662100000,654100000,747000000,848000000,1105900000,1231300000,1772100000,3201600000,7424900000,7102100000,8546400000,10846300000,11642800000,15578500000,21915900000,23810300000,22353900000,21195400000,21896400000,18602200000,14809600000,17177700000,19378500000,21940083868,25682746670,29188946945,33982300590,36839751835,40069354000,45453419000,49889197304,53448658409,48855369816,48665249735,62096022017,56254268818,57063079195,61004298565,71519117076,85579184553,1.01E+11,1.14E+11,1.37E+11,1.16E+11,1.58E+11,2.03E+11,1.90E+11,1.83E+11,1.76E+11,1.50E+11,1.37E+11,1.69E+11,1.74E+11,1.68E+11,1.64E+11,,
Indonesia,IDN,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,0.394917582,,,,0.084578517,,0.135931128,0.122305458,,0.011792453,,,0.321652277,,0.064647335,0.19571676,0.168491997,0.62509796,0.588346446,0.274737619,0.26601691,0.198653524,0.297487239,0.417543429,0.608775872,0.747761018,1.142502161,0.939008133,1.159016436,1.461673123,1.187386641,1.396927737,1.107990123,1.101960892,1.258994592,1.352096308,1.010054335,1.146949868,1.440533234,1.443192253,1.242334446,1.353832369,1.305890104,1.149212068,1.4418306,1.410443148,1.435706074,1.652830703,2.154155807,1.732317166,1.476964459,1.595707868,1.432965635,1.520120469,1.665161158,1.61979049,1.671577434,1.543495221,1.364470834,1.295534062,1.369361259,,
Indonesia,IDN,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,2.695741758,0.558441558,0.22468544,0.999118425,0.902170849,0.331555427,1.011931732,0.382204556,0.013386881,0.023584906,0.009042409,,0.349867389,0.168665667,0.879473124,0.963095422,0.856500983,1.524022017,1.390558972,0.850531181,1.53039574,1.229719911,0.636577957,0.796871019,1.20522095,1.735816194,2.235711971,2.098651158,2.651908042,2.728232288,2.505675255,2.97700671,3.011622169,3.555301238,4.36330718,4.96528105,4.708974441,5.807556024,7.017653787,7.527753269,6.953513375,7.403479938,8.331704766,8.700242512,9.235877758,9.955397203,10.12918648,12.04878093,13.04381012,13.62946803,13.86711682,14.37785059,14.74752852,15.82769839,16.79701323,17.45001593,17.59377317,17.80349866,17.00678706,16.00458047,15.48488845,,
Indonesia,IDN,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,5.62025991,,,,,8.199679393,5.961562031,5.545059853,11.41994689,4.866171638,4.953385851,4.343270033,4.322873494,3.523733372,3.410890587,3.455036457,3.448685151,3.732657919,3.920866492,3.612627208,3.068072769,3.503177921,3.571016569,4.252293942,4.557570565,4.436859613,,6.436076465,4.359246655,4.19586163,4.227433633,3.525509345,4.147252166,5.968141532,5.69073866,4.736758257,4.369827158,4.666591328,4.899223457,5.445395857,5.235108331,5.69921507,6.41005072,8.445904948,9.913538504,10.65179796,7.913075699,9.094377177,9.792749669,7.761178263,6.27516219,7.030949146,4.734889242,5.476434136,5.749876172,5.953723221,6.872276739,5.447375777,5.573116743,6.774995745,
Indonesia,IDN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,31.71176541,,,,,36.0096995,40.70809308,47.34641535,32.82648222,39.84553321,51.36468131,50.10189843,70.17407484,74.87190483,70.28837736,67.9887776,68.59145244,65.20464347,71.85734784,79.80308406,82.41431037,76.3563451,71.65227244,66.59681593,54.75878104,48.9829556,,39.76263103,43.77447748,38.32722942,33.1893667,28.21761126,26.27306475,25.33860252,25.81704455,24.61252129,19.30301323,22.99505023,25.24383597,25.34442741,24.33481121,25.72926239,25.92969595,27.68710489,27.40031439,25.60050706,29.03185578,28.27734986,29.6394104,33.86407906,33.34778438,31.44082849,29.04285462,23.04277508,19.28903403,21.84518766,23.31002856,20.33802174,15.62688087,19.4842178,
Indonesia,IDN,Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,24.55536841,25.80107916,23.49086352,25.02821681,26.09834095,25.79240851,30.94983054,36.29413499,42.96738065,46.93499249,44.43939038,49.90362446,58.79153936,65.13559199,71.6362973,70.97924414,73.56402909,82.71917703,97.0718857,120.5182687,100,90.86058886,94.69229719,93.2769437,89.87269682,95.39717442,98.17494476,100.2271465,94.60260052,95.08703791,109.0831366,114.6289411,112.2056262,116.2910504,116.1733295,122.9612893,124.5252102,132.6043998,133.426382,129.3719331,133.4608695,,
Indonesia,IDN,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,41.29637263,45.884591,50.26963103,44.97197173,31.47305389,34.88259501,34.19758813,37.27455807,39.32715933,47.38385894,49.9827478,45.33739219,38.21677957,35.4058908,36.98412698,35.66353116,33.47724189,31.63176289,27.2092622,26.33203256,25.10298835,30.70916409,28.09193424,26.54446792,33.89096532,38.33192087,39.05877093,49.23809535,28.49207979,33.39377955,38.99417225,37.16144639,36.42363023,36.2025619,31.22059587,30.02755232,31.71320031,33.02035796,29.69284304,29.60667776,33.5886764,29.85862176
Indonesia,IDN,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,11.97411003,12.41847117,15.03795066,19.05615293,27.13083397,28.99848255,15.83118684,10.63529412,9.056230574,7.880751782,6.225878529,4.241539725,5.343952727,5.739489905,7.876721243,8.611146056,8.349049121,10.00883038,6.270365609,7.092836581,6.475782713,5.557104638,4.464137424,4.387365074,2.992031815,3.721726944,4.647302905,5.858238561,6.365974987,7.41744197,5.81359692,6.618980795,6.390860227,6.467594505,8.020073565,12.81251471,9.040384218,8.501325652,10.80274719,14.63438195,14.15603073,13.345247,16.49763079,20.17134304,20.07846504,21.2946113,23.21086766,27.87171691,24.94372031,26.62013871,28.37073276,28.47854054,29.5745266,30.85276737,31.23827263,35.10042904,37.57016905,37.18657442,36.52017042,38.62104602,39.68115501,,
Indonesia,IDN,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,1.844660194,1.852334986,2.435167615,1.055356432,2.050497322,2.564491654,3.150386368,2.431372549,3.348403504,2.968243681,2.031281739,1.669251117,1.689254287,3.421548001,1.949657704,1.165765086,2.661402612,1.66492735,2.309348002,2.03166519,0.531497698,0.844040846,1.47104183,0.610953124,0.573478768,0.427258925,0.542682643,0.52351541,0.7532119,0.940085855,1.317345464,1.288895481,1.207920324,1.458324144,1.121152225,1.493117001,2.511547658,2.014167157,1.674904024,1.697683981,2.021076055,2.228352443,2.347431939,2.217085355,2.511067628,1.977002803,2.474361352,2.321224604,2.366439333,2.477716471,2.586113006,2.642441103,2.465310143,2.289346683,2.373486257,2.114273092,2.318749641,2.81779542,3.013096752,2.760197883,2.82100174,,
Indonesia,IDN,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,11.97411003,12.41847117,15.03795066,19.05615293,27.13083397,28.99848255,15.83118684,10.63529412,9.056230574,7.880751782,6.225878529,4.241539725,5.343952727,5.739489905,7.876721243,8.611146056,8.349049121,10.00883038,6.270365609,7.092836581,6.475782713,5.557104638,4.464137424,4.387365074,2.992031815,3.721726944,4.647302905,5.858238561,6.365974987,7.41744197,5.81359692,6.618980795,6.390860227,6.467594505,8.020073565,12.81251471,9.040384218,8.501325652,10.80274719,14.63438195,14.15603073,13.345247,16.49763079,20.17134304,20.07846504,21.2946113,23.21086766,27.87171691,24.94372031,26.62013871,28.37073276,28.47854054,29.5745266,30.85276737,31.23827263,35.10042904,37.57016905,37.18657442,36.52017042,38.62104602,39.68115501,,
Indonesia,IDN,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,3.462783172,1.304461258,2.624920936,3.624054162,0.015302219,0.030349014,0.059441252,0.015686275,0.014128285,,,,,,2.069396361,1.620748941,0.37012884,4.712210002,3.541000269,5.155281222,9.022542515,5.720637552,7.320212589,6.152952329,10.72751113,9.510647409,6.726653923,5.800675203,5.358479935,4.349211136,3.086224705,3.995201653,3.899436931,1.9823512,3.424569257,3.514741023,2.580914743,2.864379437,2.951868394,8.3455916,8.175402003,8.897617039,7.529539027,8.374400898,8.152160269,8.17728093,9.872453105,8.503807908,6.722821337,5.934793034,5.853025165,5.499328242,6.583161279,6.934499983,7.018015204,5.087186074,4.685647217,5.000692547,5.260002403,4.847577703,4.471671508,,
Indonesia,IDN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.515213245,3.829432787,3.600828906,3.499214449,4.95202508,9.061360404,8.901518256,8.49366481,7.405550286,7.076612996,7.093096042,6.996927942,7.631788206,7.966882164,7.972120317,7.703090046,8.060779755,9.427296297,8.497551852,
Indonesia,IDN,Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.25503864,70.9909614,80.75244123,88.21641054,95.4767196,111.6324441,99.68163334,108.2423689,125.6282582,124.600619,122.3677759,121.0633355,100,94.01940014,102.9747882,110.0565576,104.8821423,101.5913793,120.211933,
Indonesia,IDN,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.57,16.56,,,15.61,,12.41,12.32,17.76,6.71,11.3,6.62,6.59,6.56,6.53,6.52,6.51,6.5,6.66,6.65,6.62,7.86,7.96,7.86,7.25,,,6.77,6.87,7.03,9.07,6.85,,
Indonesia,IDN,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.24,99.24,99.24,99.24,99.24,99.22,99.22,99.22,99.22,99.22,99.22,99.22,,,99.32,99.31,99.31,99.24,99.24,,
Indonesia,IDN,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.21,25.74,,,17.92,,15.34,12.35,22.51,8.94,11.19,8.43,6.9,6.91,6.91,6.96,6.96,6.96,6.91,6.9,6.8,7.39,7.42,7.36,7.22,,,7.88,8.1,8.15,8.67,8.1,,
Indonesia,IDN,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.71,96.65,96.71,96.65,96.65,96.65,96.65,96.42,96.42,96.42,96.42,96.42,96.4,96.4,96.4,96.4,96.4,96.4,96.4,,,96.56,96.53,96.53,96.51,96.51,,
Indonesia,IDN,"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.72,28.51,,,18.62,,16.24,12.37,23.95,9.61,11.18,8.97,7,7.03,7.03,7.13,7.13,7.13,7.03,7.02,6.9,7.27,7.27,7.23,7.23,,,8.29,8.56,8.56,8.56,8.56,,
Indonesia,IDN,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.19,96.12,96.19,96.12,96.12,96.12,96.12,95.91,95.91,95.91,95.91,95.91,95.86,95.86,95.86,95.86,95.86,95.86,95.86,,,95.86,95.82,95.82,95.82,95.82,,
Indonesia,IDN,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5042000000,4427000000,4569000000,4740000000,5458000000,6578000000,8801000000,6908000000,8432000000,8653000000,9055000000,10280000000,10263000000,9800000000,9932000000,10945000000,13171000000,14449000000,1980000000,,
Indonesia,IDN,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000,424000000,428000000,572000000,442000000,485000000,773000000,455000000,660000000,1041000000,1139000000,1183000000,1306000000,1293000000,1360000000,1552000000,1489000000,1494000000,221000000,,
Indonesia,IDN,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324000,5034000,5185000,4606000,4728000,5064000,5153000,5033000,4467000,5321000,5002000,4871000,5506000,6234000,6324000,7003000,7650000,8044000,8802000,9435000,10407000,11519000,14040000,15810000,16107000,4053000,,
Indonesia,IDN,Urban population growth (annual %),SP.URB.GROW,,4.315041588,4.332609995,4.352826222,4.369739586,4.05532212,3.918924858,4.144644348,4.231387623,4.279958453,4.25522961,4.22254354,5.144362648,5.382469732,5.329542612,5.272265375,5.226648931,5.161107524,5.12764883,5.082025215,5.038328353,5.506630545,5.716712264,5.638396869,5.544775031,5.401403482,5.254751883,5.144221382,5.066257882,4.969945608,4.876404795,5.051320443,5.099974508,4.994892083,4.924132956,4.853756686,4.780952022,4.699540759,4.608797609,4.483407852,4.370212881,3.25245836,3.191729753,3.130548826,3.045241126,3.001908317,3.017089438,3.002722636,2.971135604,2.911064121,2.826544509,2.61086126,2.592946074,2.528333014,2.459840852,2.390745353,2.318954028,2.239796021,2.177306227,2.123580212,2.005320259,1.834015854,
Indonesia,IDN,Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,,,,66.3,,,,,78.2,,,,,
Indonesia,IDN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.12151165,50.1065429,50.08910072,50.0710272,50.05675446,50.09080263,50.12902383,50.12351268,50.11408829,50.10528203,50.09703338,50.08993669,50.0827696,50.07491437,50.06671841,50.05823156,50.0503241,50.04283428,50.0340026,50.0225073,50.009216,49.99351985,49.97495243,49.95666778,49.93773253,49.91745606,49.89908935,49.88055078,49.86202112,49.84574056,49.83045333,49.8139789,49.79677014,49.78308992,49.77052692,49.7572688,49.74484291,49.73366134,49.72279971,49.7141598,49.70630009,49.69846615,49.69070681,49.68375421,49.67566962,49.66569939,49.66064442,49.65627847,49.64978541,49.64555196,49.64159076,49.63517337,49.62907301,49.6271043,49.62683121,49.62509761,49.62393878,49.62344941,49.6243418,49.62645884,49.63267731,49.64351776,
Indonesia,IDN,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.6496582,199.2181854,,,,,,,,89.52670288,,,,,,,,,,,,,
Indonesia,IDN,Age dependency ratio (% of working-age population),SP.POP.DPND,72.99257791,74.00689621,75.17103693,76.48291398,77.86057625,79.31367538,80.75315524,81.98948904,82.9144584,83.5358572,83.93681214,84.12111645,84.10024785,83.91438783,83.55517181,83.02974983,82.37523525,81.60755935,80.76249464,79.84979053,78.85413593,77.76617122,76.62560997,75.46261996,74.25392783,72.94772071,71.5454349,70.13516233,68.75697681,67.42268157,66.1056006,64.83208771,63.60778307,62.38867688,61.20332869,60.07208327,59.01221626,58.01306753,57.05329493,56.13451542,55.3358521,54.70211961,54.14472668,53.60213932,53.08369037,52.64591976,52.26694128,51.94440275,51.6757317,51.38336214,51.05810426,50.73653156,50.41081963,50.05879125,49.71880325,49.39038617,49.06761304,48.77080053,48.50598473,48.27178316,47.99128823,47.61480363,
Indonesia,IDN,"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,0.288830123,0.299119149,0.309736687,0.320564704,0.331500476,0.339457141,0.347207442,0.35804268,0.369495016,0.381339629,0.393594968,0.406267408,0.419483415,0.433247213,0.447583155,0.46249211,0.477927584,0.493651109,0.508935201,0.523018538,0.534565069,0.543459073,0.552022261,0.561489939,0.571879916,0.583908526,0.597018029,0.609009371,0.618234279,0.624470805,0.628126864,0.629493493,0.629859802,0.630733128,0.633376592,0.63907325,0.648275064,0.660876984,0.676811463,0.695686696,0.717139664,0.740584143,0.765313486,0.79009329,0.813083159,0.833792751,0.852094686,0.868523542,0.884106597,0.899644627,0.916052328,0.933084012,0.949668624,0.964850845,0.978105466,0.988856828,0.996392167,1.001063834,1.003968955,1.00605057,1.000195859,0.983059227,
