Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019
Indonesia,IDN,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,893588.3,958076.1,1002369.0
Indonesia,IDN,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2800.0,4500.0,23000.0
Indonesia,IDN,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,42.8571434,42.99517059,42.99517059
Indonesia,IDN,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,53.27123475,53.87354379,54.70875932
Indonesia,IDN,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2.4665052782E10,3.0489536577E10,3.0910487229E10
Indonesia,IDN,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1.69E11,1.74E11,1.68E11
Indonesia,IDN,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,1.543495221,1.364470834,1.295534062
Indonesia,IDN,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,17.80349866,17.00678706,16.00458047
Indonesia,IDN,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,5.953723221,6.872276739,5.447375777
Indonesia,IDN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,21.84518766,23.31002856,20.33802174
Indonesia,IDN,Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,132.6043998,133.426382,129.3719331
Indonesia,IDN,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,31.71320031,33.02035796,29.69284304
Indonesia,IDN,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,37.18657442,36.52017042,38.62104602
Indonesia,IDN,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,2.81779542,3.013096752,2.760197883
Indonesia,IDN,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,37.18657442,36.52017042,38.62104602
Indonesia,IDN,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,5.000692547,5.260002403,4.847577703
Indonesia,IDN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,7.972120317,7.703090046,8.060779755
Indonesia,IDN,Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD,102.9747882,110.0565576,104.8821423
Indonesia,IDN,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,6.87,7.03,9.07
Indonesia,IDN,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,99.31,99.31,99.24
Indonesia,IDN,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,8.1,8.15,8.67
Indonesia,IDN,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,96.53,96.53,96.51
Indonesia,IDN,"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,8.56,8.56,8.56
Indonesia,IDN,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,95.82,95.82,95.82
Indonesia,IDN,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,1.0945E10,1.3171E10,1.4449E10
Indonesia,IDN,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,1.552E9,1.489E9,1.494E9
Indonesia,IDN,"International tourism, number of arrivals",ST.INT.ARVL,1.404E7,1.581E7,1.6107E7
Indonesia,IDN,Urban population growth (annual %),SP.URB.GROW,2.239796021,2.177306227,2.123580212
Indonesia,IDN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.62344941,49.6243418,49.62645884
Indonesia,IDN,Age dependency ratio (% of working-age population),SP.POP.DPND,48.77080053,48.50598473,48.27178316
Indonesia,IDN,"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,1.001063834,1.003968955,1.00605057
Indonesia,IDN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,6.345066091,6.458385226,6.593818247
Indonesia,IDN,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,7.248671746,7.369788745,7.514266831
Indonesia,IDN,"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,3.273645119,3.399193439,3.5250224
Indonesia,IDN,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,5.593200633,5.680631111,5.760707476
Indonesia,IDN,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,7.153179075,7.187997727,7.230264836
Indonesia,IDN,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,8.040888526,7.91354001,7.793523507
Indonesia,IDN,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,8.288345476,8.278749334,8.243900177
Indonesia,IDN,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,67.61375115,67.74622616,67.86548295
Indonesia,IDN,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,8.485349276,8.385112521,8.31026434
Indonesia,IDN,"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,9.192069364,9.135466625,9.051530945
Indonesia,IDN,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,26.93128001,26.69319921,26.44749636
Indonesia,IDN,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,9.048558592,8.835490069,8.646157737
Indonesia,IDN,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,76.318713,77.323016,77.587465
Indonesia,IDN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,71.898,72.403,72.597
Indonesia,IDN,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,199.216,193.961,192.873
Indonesia,IDN,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,3262.872447,3451.353925,3600.50673
Indonesia,IDN,External balance on goods and services (current LCU),NE.RSB.GNFS.CN,1.36E14,-1.59E14,-7.04E13
Indonesia,IDN,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,8.067946249,12.13601614,-7.126940518
Indonesia,IDN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,33.7105948,34.57058583,33.78014238
