Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Publisher,Language of Original Document,Document Type,Publication Stage,Open Access,Source,,,,,,,,,,,
Kalaitzidou A.; Senechal N.; Dimitriou P.; Chandran K.; McGinity M.,"Kalaitzidou, Alexandra (57989815800); Senechal, Nathalie (57989001200); Dimitriou, Paschalis (57989815900); Chandran, Krishnan (57671492700); McGinity, Matthew (23050978700)",57989815800; 57989001200; 57989815900; 57671492700; 23050978700,"""E-WAFE"" - A Full Body Embodied Social Exergame",2022,CHI PLAY 2022 - Extended Abstracts of the 2022 Annual Symposium on Computer-Human Interaction in Play,,,,286,290,4,3,10.1145/3505270.3558375,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143174163&doi=10.1145%2f3505270.3558375&partnerID=40&md5=2ed20e1e5ac0e882712ba10568464900,"This paper presents and describes the technical implementation of a full body embodied social exergame called ""Exercise - Water Air Fire Earth""or ""E-WAFE""in short, developed by an interdisciplinary team of three students in the scope of a practical course module. The design decisions were aimed at creating immersive, longtime engaging gamification of exercise with social interaction, utilising new technologies and motivating people to exercise for physiological health as well as connecting people by indulging in social play. The networked, full body tracked (Virtual Reality headset, two controllers and three trackers) gameplay, involving exercises such as squatting and shadowboxing, implemented with a machine learning based approach, creates an immersive experience for currently two players.  © 2022 Owner/Author.",Full body tracking; Social Exergame; Student Game Design Contest; Virtual Reality,Virtual reality; Design contests; Exergames; Full body; Full-body tracking; Game design; Immersive; Interdisciplinary teams; Social exergame; Student game design contest; Technical implementation; Game design,"Association for Computing Machinery, Inc",English,Conference paper,Final,,Scopus,YES,Classification,"tidak dijelaskan, tapi kombinasi VR dan ML untuk gamification",,,,,,,,
Lee L.-K.; Cheung T.-K.; Ho L.-T.; Yiu W.-H.; Wu N.-I.,"Lee, Lap-Kei (55756346000); Cheung, Tsz-Kin (57209569908); Ho, Lok-Tin (57209566799); Yiu, Wai-Hang (57209566744); Wu, Nga-In (57192170711)",55756346000; 57209569908; 57209566799; 57209566744; 57192170711,A cross-platform game for learning computational thinking with the support of collaborative learning,2021,International Journal of Innovation and Learning,30,3,,334,357,23,0,10.1504/IJIL.2021.118188,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117610456&doi=10.1504%2fIJIL.2021.118188&partnerID=40&md5=7970754e551d949271a2d3b45ac588a0,"Computational thinking (CT) has gained increasing attention from education researchers, practitioners, and parents in the past decade, as CT is a fundamental skill for everyone to solve problems effectively and efficiently with solutions that are reusable in different contexts. This paper presents a cross-platform game for learning CT anywhere and anytime using a computer or smartphone with or without internet connection. The game provides an easy-to-use visual programming environment for learners to instruct virtual 3D robot(s) to complete specific tasks. Our game levels are designed to cover these CT core elements: reformulation, recursion, decomposition, abstraction, and systematic testing. The game also supports collaborative learning for multiple learners, where learners find suitable solutions together. This helps to develop their communication and leadership skills. Two surveys were performed to confirm the successful integration of the five CT core elements in its game design, and its attractiveness and usefulness as a CT learning tool. Copyright © 2021 Inderscience Enterprises Ltd.",Collaborative learning; Computational thinking; Cross platforms; Gamification; Visual programming,decadal variation; education; Internet; machine learning; software; visual analysis,Inderscience Publishers,English,Conference paper,Final,,Scopus,NO,,,,,,,,,,
Wanderley De Oliveira L.; Teixeira De Carvalho S.,"Wanderley De Oliveira, Luma (57219051490); Teixeira De Carvalho, Sergio (35188674100)",57219051490; 35188674100,A gamification-based framework for mhealth developers in the context of self-care,2020,Proceedings - IEEE Symposium on Computer-Based Medical Systems,2020-July,,9183037,138,141,3,2,10.1109/CBMS49503.2020.00033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091166431&doi=10.1109%2fCBMS49503.2020.00033&partnerID=40&md5=6c6828d615cc0b6a171a1eb90c340915,"This work investigates how gamification is used in self-care applications. Evidence in the literature indicates that the development of gamified mobile health applications has not taken into account the user's profile in order to correctly use the game elements in the solution; there also cases in which the use of gamification goes beyond the main purpose of the application, which is to treat health. This results in inefficiency in the use of the gamification strategy. To overcome this problem, this paper presents a gamification-based Framework, called Framework L, a method which incorporates concepts and practices in terms of two dimensions, Self-Care and Gamification, so that an mobile health application developer can design his application. In this context, adaptive gamification experiments were carried out in different ways. The first aims to improve the user experience when performing a manual test for the player profile. The second experiment uses machine learning to classify the user by player profile. These aspects make up the adaptive gamification cycle. The framework evaluation used the mixed method composed of a questionnaire and an online interview with experts. The results indicate that the framework helps developers marshal mobile health applications, primarily by encouraging user engagement. © 2020 IEEE.",Development; Engagement; Gamification; Motivation; Self-care,mHealth; Surveys; User experience; Framework evaluation; Game elements; Mixed method; Mobile health application; Online interviews; Two-dimension; User engagement; User's profiles; Gamification,Institute of Electrical and Electronics Engineers Inc.,English,Conference paper,Final,,Scopus,YES,Classification,mengklasifikasi profil karakter pengguna gamifikasi,,,,,,,,
Simpson A.; An Y.; Estep J.; Saraf A.; Raiti J.,"Simpson, Alexander (57958070700); An, Yongjie (57957396600); Estep, Jacob (57957173400); Saraf, Abhijeet (57956720900); Raiti, John (55225616200)",57958070700; 57957396600; 57957173400; 57956720900; 55225616200,A Gamified Approach to Cognitive Assessment with Machine Learning Based Predictions,2022,"2022 IEEE Global Humanitarian Technology Conference, GHTC 2022",,,,441,444,3,0,10.1109/GHTC55712.2022.9910615,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141474021&doi=10.1109%2fGHTC55712.2022.9910615&partnerID=40&md5=968feca157190844a7d02427f6032da6,"Cognitive Assessment is an important method for identifying cognitive impairment in individuals, and diagnosing diseases such as Alzheimer's disease. However, it is usually performed using paper-based assessment, which can be frustrating and unengaging for patients. Low engagement can lead to inaccuracies and anomalous results. This paper aims to address this issue by taking a gamified approach to cognitive assessment. Using a physical prototype of a wack-a-mole inspired game, we accurately predicted cognitive ability of players using an SVR Machine Learning model. This model used inputs from participants playing the game including reaction times, in-game scores and heart rate, achieving an R-squared of 0.689 (3sf).  © 2022 IEEE.",Cognitive Assessment; Cognitive Impairment; Gamification; Machine Learning,Diagnosis; Learning systems; Neurodegenerative diseases; Alzheimers disease; Cognitive ability; Cognitive assessments; Cognitive impairment; Gamification; Heart-rate; Machine learning models; Machine-learning; Machine learning,Institute of Electrical and Electronics Engineers Inc.,English,Conference paper,Final,,Scopus,YES,Classification,"memprediksi kemampuan kognitif dari hasil evaluasi gamifikasi, seperti waktu reaksi, jumlah detak jantung, dan skor",,,,,,,,
Di Nunzio G.M.; Maistro M.; Vezzani F.,"Di Nunzio, Giorgio Maria (57210368958); Maistro, Maria (56285958300); Vezzani, Federica (57197778794)",57210368958; 56285958300; 57197778794,A Gamified Approach to Naïve Bayes Classification: A Case Study for Newswires and Systematic Medical Reviews,2018,"The Web Conference 2018 - Companion of the World Wide Web Conference, WWW 2018",,,,1139,1146,7,7,10.1145/3184558.3191547,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051071071&doi=10.1145%2f3184558.3191547&partnerID=40&md5=25ee61fa4265f90b208e2e9f0100a097,"Supervised machine learning algorithms require a set of labelled examples to be trained; however, the labelling process is a costly and time consuming task which is carried out by experts of the domain who label the dataset by means of an iterative process to filter out non-relevant objects of the dataset. In this paper, we describe a set of experiments that use gamification techniques to transform this labelling task into an interactive learning process where users can cooperate in order to achieve a common goal. To this end, first we use a geometrical interpretation of Naïve Bayes (NB) classifiers in order to create an intuitive visualization of the current state of the system and let the user change some of the parameters directly as part of a game. We apply this visualization technique to the classification of newswire and we report the results of the experiments conducted with different groups of people: PhD students, Master Degree students and general public. Then, we present a preliminary experiment of query rewriting for systematic reviews in a medical scenario, which makes use of gamification techniques to collect different formulation of the same query. Both the experiments show how the exploitation of gamification approaches help to engage the users in abstract tasks that might be hard to understand and/or boring to perform. © 2018 IW3C2 (International World Wide Web Conference Committee), published under Creative Commons CC BY 4.0 License.",automatic text classification; crowdsourcing; eHealth; gamification,Barium compounds; Gamification; Iterative methods; Learning algorithms; Sodium compounds; Supervised learning; Visualization; World Wide Web; Bayes classification; Geometrical interpretation; Interactive learning; Iterative process; Supervised machine learning; Systematic Review; Time-consuming tasks; Visualization technique; Learning systems,"Association for Computing Machinery, Inc",English,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,YES,,membuat sistem gamifikasi pada pengaturan parameter model,,,,,,,,
Dosaya V.; Varshney S.; Parameshwarappa V.K.; Beniwal A.; Tak S.,"Dosaya, Vivek (57221919844); Varshney, Shashwat (57221909019); Parameshwarappa, Vijaya Kumar (57221907113); Beniwal, Akshay (57221906310); Tak, Shraddha (57221920096)",57221919844; 57221909019; 57221907113; 57221906310; 57221920096,A Low cost Augmented Reality system for Wide Area Indoor Navigation,2020,"2020 International Conference on Decision Aid Sciences and Application, DASA 2020",,,9317014,190,195,5,3,10.1109/DASA51403.2020.9317014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100529318&doi=10.1109%2fDASA51403.2020.9317014&partnerID=40&md5=e36a710fa979307b69bb8132ad34e4af,"In today's world, there are a lot of outdoor navigation apps for visually challenged people, but there are none that can precisely tell a user's location inside a large structure. Indoor navigation is a complex task for the visually challenged as well as for the general public, especially in large structures like malls, airports, museums, factories, etc. Present solutions and technologies are not cost-effective as well as complex. Hence, we are proposing a low-cost model that uses Augmented Reality to place virtual anchors across a structure, so a person can navigate from one location to another with the help of these anchors. The model doesn't use technologies like GPS. Machine Learning, and Artificial Intelligence but here, the anchors placed are pervasive and persistent across the indoor environment for smooth navigation. Once placed, these virtual anchors remain at their location and can be used at any time by any person registered on our app. This model can be extended for the general public in any indoor space and also can be enhanced by gamification for better user interaction and retention. This model can also be extended to collaborate with the Aarogya Setu app, which can help us identify routes that go through spaces through which covid positive patients have passed which in turn helps us avoid those routes in real-time navigation. © 2020 IEEE.",Augmented reality; Blind Navigation; Covid-19; GPS; Indoor Navigation; Mixed Reality; Unity; Vector Mapping,Anchors; Artificial intelligence; Augmented reality; Cost effectiveness; Costs; Decision support systems; Location; Navigation; Augmented reality systems; General publics; In-door navigations; Indoor environment; Large structures; Outdoor navigation; Real-time navigation; User interaction; Indoor positioning systems,Institute of Electrical and Electronics Engineers Inc.,English,Conference paper,Final,,Scopus,NO,,,,,,,,,,
Nikolakis N.; Siaterlis G.; Alexopoulos K.,"Nikolakis, Nikolaos (55587716700); Siaterlis, George (57219371444); Alexopoulos, Kosmas (15047594700)",55587716700; 57219371444; 15047594700,A machine learning approach for improved shop-floor operator support using a two-level collaborative filtering and gamification features,2020,Procedia CIRP,93,,,455,460,5,5,10.1016/j.procir.2020.05.160,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092432939&doi=10.1016%2fj.procir.2020.05.160&partnerID=40&md5=ea8dddb28b59437232c7f8c0465b2b0a,The increasing gap in shopfloor operators' skillset regarding advanced information and communication technologies along with workforce's diversity require a cognitive system bridging such technical gaps in order to address evolving production demands and satisfy the human need for self-fulfillment and self-actualization at work. This study discusses on a two-level collaborative filtering approach to improve the distribution of information content provided to an operator for completing a manufacturing activity while considering his or her feedback. A prototype implementation is evaluated in a case study related to the operator's job rotation on a shopfloor that involves multiple workstations and tasks. © 2020 The Authors.,Artificial intelligence; Cyber-physical production system; Gamification; Operator support; Production,Cognitive systems; Machine learning; Manufacture; Turing machines; Advanced informations; Information contents; Job rotation; Machine learning approaches; Manufacturing activities; Operator support; Production demand; Prototype implementations; Collaborative filtering,Elsevier B.V.,English,Conference paper,Final,All Open Access; Gold Open Access,Scopus,YES,Collaborative Filtering,,,,,,,,,
Odevci B.B.; Ozdem M.; Emsen E.; Bilen T.,"Odevci, Bahadir Baran (56586168400); Ozdem, Mehmet (18434504900); Emsen, Ebru (6603243804); Bilen, Tugce (57136805000)",56586168400; 18434504900; 6603243804; 57136805000,A Machine Learning Model for Predicting Performance of Gamified Software Test Specialist,2022,"16th International Conference on INnovations in Intelligent SysTems and Applications, INISTA 2022",,,,,,,0,10.1109/INISTA55318.2022.9894269,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139594104&doi=10.1109%2fINISTA55318.2022.9894269&partnerID=40&md5=9f65a4322cda231afc1063d9dcee822f,"Gamification is one of the new trend in software development and it has already gained a well-deserved popularity in finance, healthcare, education and even manufacturing. Software testing is a continuous cycle layered with several stages and spanning across multiple types of testing. Teams need to design test suites and implement test execution methodologies in each stage of development. For this reason, software testing teams comprise many individuals skilled in different aspects of software testing. The inclusion of gamification in this course can lead to positive benefits based on the idea that it is used to influence behavior. This paper presents an preliminary study of Machine Learning (ML) approach for predicting performance gamification of software tester specialists under a gamified testing environment. ImonaGame is a software company that delivers gamification as a service for software testing team of 30 members with different static and dynamic data. User behavior collected in dynamic data sets was classified into categories by deconstructing complex activities into behavior chains using supervision of domain experts. The classification approach was centered on the system's testing processes' performance objectives and potential for encouragement or dissuasion. Motivators and obstacles for the target activity and its behaviors will be found when the model has been developed. After conducting preliminary research, it is possible to determine whether gameful design is an effective and efficient tactic for achieving the desired result by analyzing needs, motives, and obstacles. The source data was classified target data in four categories such as I: Static feature (personal information; 4), II: Daily feature (gamification elements; 14), III: Mission feature (points; 7 sources) and IV: Cumulative futures (Sum of daily and mission features; 13).  © 2022 IEEE.",gamification; machine learning; performance; software tester,Behavioral research; Machine learning; Software design; Classifieds; Design tests; Gamification; Health care education; Machine learning models; Machine-learning; Performance; Software tester; Software testings; Testing teams; Software testing,Institute of Electrical and Electronics Engineers Inc.,English,Conference paper,Final,,Scopus,YES,Classification,,,,,,,,,
Reyes A.A.; Elkin C.; Niyaz Q.; Yang X.; Paheding S.; Devabhaktuni V.K.,"Reyes, Abel A (57669722600); Elkin, Colin (57191618050); Niyaz, Quamar (55191240800); Yang, Xiaoli (35774975600); Paheding, Sidike (56585990900); Devabhaktuni, Vijay K (6602156750)",57669722600; 57191618050; 55191240800; 35774975600; 56585990900; 6602156750,A Preliminary Work on Visualization-based Education Tool for High School Machine Learning Education,2020,"2020 9th IEEE Integrated STEM Education Conference, ISEC 2020",,,9280629,,,,8,10.1109/ISEC49744.2020.9280629,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099049734&doi=10.1109%2fISEC49744.2020.9280629&partnerID=40&md5=4da1f49b92a1e812dae25a72144e6e66,"Artificial Intelligence (AI) has become one of the most recurrent topics nowadays, due to its many industrial applications and its wide range of research topics in academia. Within AI, Machine Learning (ML) is one of the most prominent sub-fields, the popularity of which is complemented with its high demand as a professional skill for different industries. In the last few years, teaching ML is thus increasingly common in different levels of education. However, the curricula implemented for several courses or programs to learn ML are not always appropriate for the backgrounds of students, particularly high school students, as programming and complex math experience are usually required to implement ML models and understand the potential of this field. For this reason, it is possible for students to have difficulties with the lack of experience required or expected and to have prior to learning ML topics. In addition, motivation can be affected, as the curriculum does not sufficiently engage the student in the learning process. In this work, we propose a visualization tool to introduce high school students to the ML field, which will be implemented using concepts of gamification and adapting the content of the curriculum without requiring exhaustive experience in programming or math.  © 2020 IEEE.",Artificial Intelligence; Education; Gamification; Machine Learning; Visualization.,Curricula; Education computing; Industrial research; Machine learning; Visualization; Education tool; High demand; High school; High school students; Learning process; Professional skills; Research topics; Visualization tools; Students,Institute of Electrical and Electronics Engineers Inc.,English,Conference paper,Final,,Scopus,YES,,pengenalan algoritma machine learning berbasis gamifikasi,,,,,,,,
Knutas A.; van Roy R.; Hynninen T.; Granato M.; Kasurinen J.; Ikonen J.,"Knutas, Antti (47061241100); van Roy, Rob (56225485700); Hynninen, Timo (57190389813); Granato, Marco (56656244300); Kasurinen, Jussi (26325616300); Ikonen, Jouni (6701725919)",47061241100; 56225485700; 57190389813; 56656244300; 26325616300; 6701725919,A process for designing algorithm-based personalized gamification,2019,Multimedia Tools and Applications,78,10,,13593,13612,19,43,10.1007/s11042-018-6913-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057983884&doi=10.1007%2fs11042-018-6913-5&partnerID=40&md5=34ee9d9e4b6bff97f163d5eb7c6d6ce6,"Personalization is an upcoming trend in gamification research, with several researchers proposing that gamified systems should take personal characteristics into account. However, creating good gamified designs is effort intensive as it is and tailoring system interactions to each user will only add to this workload. We propose machine learning algorithm -based personalized content selection to address a part of this problem and present a process for creating personalized designs that allows automating a part of the implementation. The process is based on Deterding’s 2015 framework for gameful design, the lens of intrinsic skill atoms, with additional steps for selecting a personalization strategy and algorithm creation. We then demonstrate the process by implementing personalized gamification for a computer-supported collaborative learning environment. For this demonstration, we use the gamification user type hexad for personalization and the heuristics for effective design of gamification for overall design. The result of the applied design process is a context-aware, personalized gamification ruleset for collaborative environments. Lastly, we present a method for translating gamification rulesets to machine-readable classifier algorithm using the CN2 rule inducer. © 2018, The Author(s).",Adaptive systems; Design process; Gamification; Machine learning; Personalization,Adaptive systems; Artificial intelligence; Computer aided instruction; Learning algorithms; Learning systems; Classifier algorithms; Collaborative environments; Computer supported collaborative learning environments; Design process; Gamification; Personal characteristics; Personalization strategies; Personalizations; Design,Springer New York LLC,English,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,YES,Clustering,penerapan personalisasi konten gamifikasi berdasarkan karakteristik data,,,,,,,,
