"Category","Annual Mean","5-yr smooth"
"1901",25.4,25.41
"1902",25.37,25.39
"1903",25.37,25.37
"1904",25.36,25.35
"1905",25.41,25.35
"1906",25.41,25.35
"1907",25.33,25.37
"1908",25.4,25.41
"1909",25.39,25.45
"1910",25.37,25.49
"1911",25.54,25.52
"1912",25.6,25.54
"1913",25.56,25.55
"1914",25.65,25.55
"1915",25.62,25.54
"1916",25.46,25.53
"1917",25.44,25.51
"1918",25.34,25.49
"1919",25.56,25.47
"1920",25.56,25.46
"1921",25.45,25.45
"1922",25.45,25.46
"1923",25.45,25.48
"1924",25.51,25.5
"1925",25.46,25.52
"1926",25.61,25.54
"1927",25.54,25.55
"1928",25.55,25.55
"1929",25.42,25.53
"1930",25.56,25.52
"1931",25.66,25.5
"1932",25.47,25.49
"1933",25.49,25.49
"1934",25.41,25.51
"1935",25.53,25.53
"1936",25.55,25.55
"1937",25.54,25.57
"1938",25.54,25.57
"1939",25.51,25.56
"1940",25.55,25.54
"1941",25.82,25.53
"1942",25.55,25.51
"1943",25.38,25.51
"1944",25.43,25.52
"1945",25.44,25.53
"1946",25.56,25.55
"1947",25.57,25.56
"1948",25.62,25.56
"1949",25.52,25.54
"1950",25.5,25.51
"1951",25.52,25.48
"1952",25.49,25.45
"1953",25.55,25.44
"1954",25.42,25.45
"1955",25.38,25.47
"1956",25.28,25.49
"1957",25.53,25.51
"1958",25.69,25.52
"1959",25.49,25.51
"1960",25.52,25.48
"1961",25.39,25.44
"1962",25.36,25.4
"1963",25.43,25.38
"1964",25.43,25.38
"1965",25.34,25.4
"1966",25.53,25.44
"1967",25.35,25.48
"1968",25.41,25.52
"1969",25.64,25.54
"1970",25.58,25.54
"1971",25.35,25.52
"1972",25.6,25.5
"1973",25.76,25.47
"1974",25.41,25.46
"1975",25.44,25.46
"1976",25.26,25.47
"1977",25.4,25.49
"1978",25.49,25.52
"1979",25.6,25.54
"1980",25.6,25.56
"1981",25.68,25.58
"1982",25.61,25.59
"1983",25.81,25.6
"1984",25.32,25.62
"1985",25.56,25.64
"1986",25.65,25.67
"1987",25.88,25.7
"1988",25.77,25.73
"1989",25.62,25.76
"1990",25.85,25.77
"1991",25.79,25.79
"1992",25.79,25.79
"1993",25.75,25.8
"1994",25.78,25.81
"1995",25.82,25.83
"1996",25.82,25.86
"1997",25.93,25.89
"1998",26.18,25.92
"1999",25.77,25.94
"2000",25.85,25.96
"2001",25.91,25.95
"2002",26.04,25.94
"2003",25.9,25.91
"2004",25.92,25.89
"2005",25.93,25.87
"2006",25.82,25.86
"2007",25.84,25.86
"2008",25.71,25.87
"2009",25.98,25.9
"2010",26.08,25.93
"2011",25.88,25.96
"2012",25.99,26
"2013",26.05,26.04
"2014",26.04,26.08
"2015",26.12,26.11
"2016",26.23,26.12
"2017",26.03,26.13
"2018",26.04,26.12
"2019",26.2,26.11
"2020",26.18,26.09
"2021",25.99,26.07
