Word,Frequency
emissions,211
forest,162
soil,125
peat,119
rice,113
ch4,109
indonesia,97
greenhouse,92
land,91
gas,83
study,82
carbon,78
water,70
ghg,68
n2o,67
area,66
emission,66
peatlands,60
management,60
palm,58
peatland,58
oil,57
co2,56
change,55
climate,53
research,47
results,45
fires,44
use,44
fire,44
forests,39
production,37
biomass,36
methane,36
fields,32
factors,31
plantations,31
ltd,31
degradation,30
data,30
plantation,30
level,30
mitigation,27
farming,27
cover,26
rights,26
ha1,26
iop,26
method,26
field,26
wood,26
licence,25
publishing,25
swamp,25
restoration,25
kalimantan,24
deforestation,24
agriculture,23
fluxes,23
yield,23
impact,22
changes,22
model,22
content,22
productivity,22
concentration,22
years,21
increase,21
gases,21
cultivation,21
development,20
loss,20
authors,20
vegetation,20
paddy,20
flux,19
system,18
awd,18
yr1,17
conversion,17
surface,17
areas,17
year,17
matter,17
sector,17
practices,17
inpari,17
season,17
farmers,17
fertilizer,17
sources,16
impacts,16
activities,16
approach,16
decomposition,16
systems,15
community,15
energy,15
analysis,14
canal,14
species,14
quality,14
bacteria,14
application,14
characteristics,14
conditions,13
contribution,13
time,13
factor,13
province,13
sites,13
drainage,12
satellite,12
period,12
dynamics,12
events,12
asia,12
countries,12
environment,12
ipcc,12
respiration,12
forestry,12
sumatra,12
warming,12
source,12
crop,12
canopy,12
groundwater,11
biodiversity,11
information,11
nitrogen,11
atmosphere,11
efforts,11
dioxide,11
swampland,11
technology,11
experiment,11
peats,11
rate,10
society,10
reduction,10
southeast,10
intensity,10
vulnerability,10
potential,10
central,10
paper,10
oxide,10
objective,10
ecosystem,10
implementation,10
government,10
effects,10
varieties,10
gwp,10
conservation,10
timber,10
subsidence,9
times,9
smallholder,9
occurrence,9
tree,9
landuse,9
blocks,9
type,9
condition,9
strategies,9
grain,9
irrigation,9
sea,9
growth,9
soils,9
budget,9
number,8
stock,8
indonesias,8
drought,8
parameters,8
year1,8
policies,8
density,8
value,8
control,8
infrastructure,8
root,8
ratio,8
variation,8
temperature,8
resources,8
island,8
ciherang,8
types,8
framework,8
knowledge,8
effect,8
consumption,8
rubber,8
months,8
pellet,8
media,8
mineralization,8
ecosystems,7
district,7
cause,7
levels,7
project,7
country,7
inputs,7
policy,7
estimation,7
result,7
height,7
ground,7
institute,7
class,7
eucalyptus,7
addition,7
landscape,7
planting,7
regency,7
extent,7
fertilizers,7
efficiency,7
studies,7
food,7
demand,7
contributor,7
stakeholders,7
performance,7
leaf,7
treatments,7
rates,7
redd,7
balangeran,7
gwl,6
stocks,6
role,6
malaysia,6
approaches,6
models,6
index,6
samples,6
response,6
health,6
communities,6
variables,6
mineral,6
success,6
air,6
drivers,6
population,6
pollution,6
acid,6
block,6
plant,6
preparation,6
fertilization,6
lands,6
lowland,6
harvesting,6
site,6
scale,6
crown,6
slag,6
ton,6
denialist,6
amendments,6
structure,6
damage,6
products,6
gene,6
extraction,6
jpp,6
ash,6
enzyme,6
storage,5
function,5
unit,5
sensing,5
map,5
regions,5
order,5
depth,5
luc,5
location,5
chemical,5
stand,5
existence,5
indices,5
aspects,5
ability,5
priority,5
rotation,5
action,5
imagery,5
issues,5
acacia,5
pellita,5
java,5
pati,5
strategy,5
world,5
review,5
difference,5
design,5
river,5
region,5
burn,5
villages,5
properties,5
science,5
variance,5
expression,5
training,5
consortium,5
fuels,5
average,5
monoculture,5
trend,5
sugarcane,5
intensification,5
life,5
cycle,5
rainfall,5
stem,5
peaty,5
resource,5
measurements,5
smallholders,5
canals,5
option,5
problems,5
narratives,5
issue,5
landcover,5
expansion,5
sustainability,5
psf,5
bintangur,5
seedlings,5
pellets,5
teak,5
andisols,5
activity,5
burning,4
proportion,4
trends,4
decrease,4
aim,4
table,4
place,4
united,4
evidence,4
abundance,4
shrubs,4
elnino,4
corporations,4
governments,4
default,4
dndc,4
magnitude,4
mortality,4
decades,4
program,4
industry,4
glasshouse,4
concentrations,4
karanganyar,4
moisture,4
enso,4
disturbance,4
access,4
priorities,4
findings,4
switzerland,4
techniques,4
wetland,4
livelihood,4
options,4
survey,4
laboratory,4
yields,4
season1,4
flooding,4
terms,4
effort,4
east,4
accuracy,4
amendment,4
cultivar,4
parameter,4
simulation,4
values,4
confidence,4
way,4
livelihoods,4
haze,4
trainings,4
participants,4
assessment,4
biofertilizer,4
fuel,4
nature,4
islands,4
base,4
smoke,4
end,4
challenge,4
processes,4
landfill,4
metals,4
alternatives,4
projects,4
oxidation,4
steel,4
sumatera,4
treatment,4
materials,4
usage,4
jambi,4
trace,4
target,4
respondents,4
largescale,4
contributions,4
half,4
ganoderma,4
isolates,4
days,4
rise,4
residues,4
urea,4
dbl,4
differences,4
losses,4
group,4
dayak,4
ngaju,4
people,4
bioeconomy,4
frel,4
seedlingsha,4
nue,4
alaat,4
hectares,4
max,4
regime,4
ril,4
cha,4
clearing,3
west,3
lack,3
trees,3
capital,3
google,3
radar,3
tdn,3
relationship,3
inventory,3
john,3
wiley,3
sons,3
biofuels,3
pop,3
estimates,3
modeling,3
borobudur,3
influence,3
litter,3
background,3
conference,3
observations,3
physics,3
litterfall,3
co2c,3
n2on,3
variations,3
national,3
objectives,3
mhsnp,3
companies,3
pulp,3
mill,3
riau,3
nox,3
crassicarpa,3
age,3
denitrification,3
submodel,3
precipitation,3
adaptation,3
nbr,3
mdpi,3
basel,3
range,3
article,3
governance,3
ghgs,3
organic,3
feasibility,3
straw,3
manure,3
variety,3
tha1,3
experiments,3
silt,3
loam,3
clay,3
tide,3
functions,3
supply,3
indonesian,3
constraints,3
savanna,3
release,3
obstacle,3
estimate,3
lessons,3
comparison,3
tiller,3
university,3
pools,3
pressure,3
uncertainty,3
evaluation,3
household,3
income,3
dose,3
npk,3
combustion,3
pm25,3
capita,3
intensities,3
dome,3
locations,3
sugar,3
growers,3
chemicals,3
costs,3
conclusion,3
basin,3
pattern,3
industries,3
survival,3
p005,3
contributors,3
tropics,3
sink,3
case,3
availability,3
majority,3
farms,3
risk,3
perceptions,3
frequency,3
prevention,3
concessions,3
hand,3
diesel,3
space,3
need,3
bsr,3
disease,3
utilization,3
agroecosystems,3
coverage,3
exchanges,3
exchange,3
standard,3
rainwater,3
substrate,3
images,3
shrub,3
provision,3
panel,3
crops,3
trading,3
attention,3
peoples,3
fiber,3
input,3
economy,3
document,3
herbicide,3
monocot,3
cucumber,3
integration,3
mix,3
volume,3
reductions,3
actions,3
opportunity,3
importance,3
politics,3
correlation,3
seasons,3
sulfur,3
min,3
alfisols,3
sst,3
hue,3
jakenan,3
prachin,3
buri,3
muñoz,3
sections,3
lidar,3
mha,3
carbohydrate,3
quantity,2
kubu,2
raya,2
process,2
interventions,2
city,2
earth,2
engine,2
cropland,2
classes,2
wtd,2
contrast,2
quantification,2
status,2
landscapes,2
biology,2
soy,2
states,2
share,2
insights,2
american,2
instrument,2
distribution,2
aspect,2
diameter,2
ndvi,2
evi,2
savi,2
form,2
sensitivity,2
mapping,2
tonsha,2
acrs,2
relations,2
laws,2
regulations,2
business,2
obligations,2
public,2
investments,2
fact,2
decade,2
ones,2
efs,2
improvement,2
mount,2
park,2
programs,2
pulpwood,2
no2,2
worlds,2
producer,2
challenges,2
cilacap,2
episodes,2
sumatran,2
phases,2
elevation,2
proxies,2
modification,2
machine,2
support,2
regression,2
increases,2
maps,2
moratorium,2
blocking,2
purpose,2
articles,2
focus,2
humic,2
problem,2
compost,2
harvest,2
point,2
wettingdrying,2
textures,2
silty,2
ghgi,2
plot,2
biocharcompost,2
micro,2
compounds,2
weeds,2
pests,2
flow,2
dimensions,2
network,2
cropping,2
sia,2
limitations,2
calculation,2
resolution,2
goals,2
methanogens,2
fertility,2
relation,2
amelioration,2
swamps,2
characterization,2
replications,2
stage,2
department,2
faculty,2
work,2
equation,2
monte,2
carlo,2
union,2
uses,2
honeybee,2
strains,2
center,2
agents,2
amounts,2
pollutants,2
lighting,2
charcoal,2
temperatures,2
thickness,2
deposits,2
borneo,2
terrain,2
points,2
communication,2
dpsir,2
longterm,2
literature,2
practice,2
precision,2
methods,2
disposal,2
waste,2
threat,2
zinc,2
limits,2
agroforestry,2
periods,2
mining,2
profiles,2
reservoirs,2
vegetables,2
zone,2
stability,2
jepara,2
alba,2
urophylla,2
accumulation,2
foliage,2
projection,2
weight,2
mass,2
outcomes,2
state,2
actors,2
ghge,2
benefits,2
combination,2
ameliorant,2
gasses,2
sri,2
thing,2
farm,2
understanding,2
concerns,2
prevalence,2
village,2
means,2
interval,2
outputs,2
electricity,2
nh3,2
po43,2
so2,2
budgets,2
fluctuations,2
account,2
copyright,2
concern,2
attack,2
sampling,2
incubation,2
singapore,2
reporting,2
sentiment,2
continuation,2
eddy,2
covariance,2
vapor,2
deficit,2
international,2
publications,2
recycling,2
north,2
mulch,2
zones,2
piles,2
plans,2
sensors,2
multicopter,2
drone,2
camera,2
image,2
context,2
covers,2
supplement,2
nations,2
convention,2
unfccc,2
stores,2
synthesis,2
pathway,2
situation,2
incentives,2
plants,2
dynamic,2
dat,2
phase,2
sulawesi,2
nusa,2
tenggara,2
rainfed,2
stress,2
linkages,2
mantangai,2
experience,2
september,2
european,2
driver,2
transformation,2
eu28,2
equilibrium,2
accounting,2
market,2
scenario,2
basis,2
association,2
reference,2
khg,2
kph,2
tasik,2
besar,2
serkap,2
seedling,2
contact,2
plots,2
scheme,2
alanine,2
efficacy,2
dicot,2
tdna,2
event,2
percent,2
expeatland,2
rainfallgroundwater,2
capacity,2
diversity,2
threats,2
relationships,2
feedback,2
significance,2
incentive,2
profile,2
spots,2
elections,2
footprint,2
provinces,2
intakes,2
eqha,2
coal,2
perhutani,2
thinning,2
sni,2
standards,2
kcalkg,2
grcm3,2
stands,2
logging,2
septemberoctober,2
informa,2
taylor,2
francis,2
doc,2
don,2
violence,2
sungai,2
vietnam,2
thailand,2
philippines,2
aeration,2
china,2
fuelwood,2
tapanuli,2
utara,2
august,2
consequence,2
siak,2
score,2
january,2
palms,2
section,2
hectare,2
ch4c,2
agb,2
drylands,2
mgha1,2
code,2
cod,2
ppm,2
kg1,2
thousands,1
layer,1
collection,1
to85,1
atmospheres,1
datasets,1
moist,1
surroundings,1
regrowth,1
incidence,1
controls,1
sigmoidal,1
threshold,1
nfertilisation,1
intervention,1
biodiesel,1
palmonpeatlands,1
peatlandtopalm,1
updates,1
co2e,1
mj1,1
discrepancies,1
simulations,1
agencies,1
tourism,1
arvi,1
gemi,1
errors,1
breast,1
dbh,1
assumption,1
subsurface,1
shows,1
indexs,1
variable,1
herbs,1
course,1
facilities,1
stomach,1
nuance,1
hundreds,1
districtcity,1
unavailability,1
funds,1
uncertainties,1
climates,1
folu,1
halimun,1
salak,1
cloudsnonvegetation,1
denser,1
rehabilitation,1
adoptions,1
collaboration,1
estates,1
rain,1
ogawa,1
sampler,1
sox,1
rotations,1
ages,1
database,1
regencies,1
httpswwwdndcsrunhedu,1
submodels,1
accordance,1
wildfire,1
oscillation,1
lanina,1
modelling,1
spi,1
biophysical,1
slope,1
road,1
cities,1
vector,1
maximum,1
entropy,1
algorithm,1
patterns,1
riaus,1
habitat,1
deterioration,1
integrity,1
wellbeing,1
ndc,1
experiences,1
failures,1
stories,1
criteria,1
indicators,1
mangroves,1
necessity,1
establishment,1
sequestration,1
gentungan,1
replicates,1
hdg,1
mdg,1
viability,1
breakeven,1
nitrite,1
coarsetexture,1
mixture,1
ha1as,1
subplot,1
texture,1
limitation,1
decision,1
spring,1
neap,1
ions,1
mitigating,1
example,1
dam,1
overflow,1
strength,1
construction,1
gate,1
ci100,1
participation,1
institutional,1
administrator,1
agricultural,1
isari,1
opportunities,1
causes,1
degree,1
characteristic,1
channel,1
swir,1
converts,1
anaerobic,1
methanotrophs,1
exudates,1
aerenchyma,1
incorporation,1
tajak,1
puntal,1
amparoften,1
portion,1
components,1
lowemission,1
highyielding,1
jaken,1
hill,1
panicle,1
initiation,1
sebelas,1
maret,1
depletion,1
metaanalyses,1
episode,1
deviation,1
methodology,1
intervals,1
nursery,1
post,1
harvests,1
processing,1
fish,1
corn,1
kamparindragiri,1
rivers,1
fourlevel,1
kirkpatrick,1
indicatesthat,1
skill,1
behaviour,1
preserve,1
resin,1
pollen,1
profit,1
champion,1
mycobacterium,1
senegalense,1
lm1,1
providencia,1
lm18,1
rhizobium,1
rhizoryzae,1
bmu,1
bacillus,1
methylotrophicus,1
n2p4,1
formulas,1
prospect,1
particles,1
cooking,1
fuelcookstoves,1
owning,1
kerosene,1
lpg,1
cap1,1
distributions,1
500yr,1
horizons,1
cobenefits,1
constituent,1
probability,1
platform,1
arjuno,1
landsat8,1
sentinel2,1
grassland,1
fraction,1
column,1
sentinel5,1
tropospheric,1
innovations,1
domes,1
topography,1
digital,1
core,1
transects,1
cores,1
hazard,1
dpbm,1
imcg,1
ips,1
putra,1
ranomahera,1
mrr,1
supriyanto,1
dewi,1
vak,1
biodiversitas,1
scalingup,1
agroecosystem,1
agrobiodiversity,1
diseases,1
dependencies,1
break,1
legume,1
cash,1
trash,1
blanket,1
matters,1
policymakers,1
considerations,1
cempo,1
μgg,1
organization,1
wastes,1
starting,1
bangsri,1
subcatchment,1
brantas,1
necromass,1
sand,1
topsoil,1
creation,1
shade,1
solution,1
adaptability,1
sitespecies,1
interaction,1
requirement,1
branches,1
length,1
radius,1
mean,1
anova,1
hsd,1
tukey,1
protection,1
justice,1
lens,1
nonstate,1
agreements,1
sumatras,1
winwin,1
lowcarbon,1
pathways,1
criticism,1
perspectives,1
reconfiguration,1
capabilities,1
