% of total 'Counts' by 'Word',,
,,
,Word,Sum of Counts
,emissions,1.77%
,indonesia,1.36%
,energy,1.12%
,greenhouse,1.00%
,gas,0.97%
,study,0.90%
,ghg,0.83%
,carbon,0.83%
,emission,0.79%
,oil,0.75%
,palm,0.67%
,production,0.62%
,climate,0.61%
,environmental,0.57%
,change,0.56%
,land,0.56%
,global,0.54%
,forest,0.51%
,results,0.49%
,use,0.46%
,research,0.44%
,impact,0.41%
,development,0.41%
,data,0.40%
,soil,0.36%
,water,0.34%
,power,0.34%
,rice,0.33%
,peat,0.33%
,countries,0.33%
,high,0.32%
,system,0.32%
,potential,0.32%
,renewable,0.32%
,total,0.32%
,area,0.29%
,management,0.29%
,impacts,0.28%
,analysis,0.28%
,consumption,0.28%
,sustainable,0.27%
,method,0.27%
,publishing,0.27%
,industry,0.27%
,factors,0.27%
,economic,0.26%
,model,0.26%
,gases,0.26%
,sector,0.25%
,year,0.25%
,reduction,0.25%
,electricity,0.25%
,iop,0.24%
,level,0.24%
,process,0.23%
,national,0.23%
,licence,0.23%
,waste,0.23%
,indonesian,0.23%
,significant,0.23%
,low,0.23%
,food,0.23%
,biomass,0.22%
,warming,0.22%
,plant,0.22%
,paper,0.21%
,respectively,0.21%
,government,0.21%
,coal,0.20%
,activities,0.20%
,rights,0.19%
,policy,0.19%
,cycle,0.19%
,higher,0.19%
,mitigation,0.19%
,assessment,0.19%
,transportation,0.18%
,life,0.18%
,environment,0.18%
,deforestation,0.18%
,agricultural,0.18%
,fossil,0.18%
,policies,0.18%
,peatlands,0.18%
,average,0.18%
,sources,0.17%
,technology,0.17%
,generation,0.17%
,efficiency,0.17%
,organic,0.17%
,peatland,0.17%
,increase,0.17%
,fuel,0.16%
,areas,0.16%
,tropical,0.16%
,value,0.16%
,supply,0.16%
,result,0.16%
,time,0.16%
,approach,0.16%
,sustainability,0.16%
,growth,0.16%
,forests,0.16%
,implementation,0.15%
,biodiesel,0.15%
,green,0.15%
,cost,0.15%
,different,0.15%
,demand,0.15%
,main,0.15%
,important,0.15%
,world,0.15%
,source,0.15%
,resources,0.14%
,largest,0.14%
,highest,0.14%
,degradation,0.14%
,products,0.14%
,years,0.14%
,methane,0.14%
,future,0.14%
,especially,0.14%
,current,0.14%
,natural,0.14%
,long,0.14%
,contribution,0.14%
,scenario,0.13%
,effect,0.13%
,content,0.13%
,country,0.13%
,authors,0.13%
,systems,0.13%
,fire,0.13%
,fires,0.13%
,dioxide,0.13%
,annual,0.13%
,plants,0.13%
,new,0.13%
,performance,0.13%
,million,0.13%
,changes,0.13%
,biogas,0.13%
,temperature,0.12%
,significantly,0.12%
,scenarios,0.12%
,plantation,0.12%
,non,0.12%
,local,0.12%
,term,0.12%
,sectors,0.12%
,large,0.12%
,mangrove,0.12%
,fuels,0.12%
,industrial,0.11%
,field,0.11%
,scale,0.11%
,pollution,0.11%
,loss,0.11%
,factor,0.11%
,capacity,0.11%
,air,0.11%
,tons,0.11%
,health,0.11%
,fields,0.11%
,agriculture,0.11%
,quality,0.11%
,plantations,0.11%
,product,0.11%
,application,0.11%
,utilization,0.10%
,rate,0.10%
,characteristics,0.10%
,solar,0.10%
,direct,0.10%
,companies,0.10%
,small,0.10%
,processing,0.10%
,kalimantan,0.10%
,strategies,0.10%
,role,0.10%
,negative,0.10%
,international,0.10%
,economy,0.10%
,cover,0.10%
,conversion,0.10%
,ton,0.09%
,lca,0.09%
,conservation,0.09%
,concentration,0.09%
,cultivation,0.09%
,net,0.09%
,number,0.09%
,lower,0.09%
,landfill,0.09%
,wood,0.09%
,project,0.09%
,order,0.09%
,major,0.09%
,human,0.09%
,java,0.09%
,community,0.09%
,species,0.09%
,site,0.09%
,sea,0.09%
,primary,0.09%
,region,0.09%
,practices,0.09%
,issues,0.09%
,condition,0.09%
,case,0.09%
,atmosphere,0.09%
,yield,0.08%
,restoration,0.08%
,framework,0.08%
,critical,0.08%
,city,0.08%
,strategy,0.08%
,period,0.08%
,malaysia,0.08%
,inventory,0.08%
,effects,0.08%
,construction,0.08%
,conditions,0.08%
,china,0.08%
,central,0.08%
,asia,0.08%
,treatment,0.08%
,swamp,0.08%
,scope,0.08%
,ratio,0.08%
,productivity,0.08%
,output,0.08%
,furthermore,0.08%
,expansion,0.08%
,dry,0.08%
,types,0.08%
,surface,0.08%
,second,0.08%
,regional,0.08%
,objective,0.08%
,disclosure,0.08%
,farming,0.08%
,cement,0.08%
,addition,0.08%
,studies,0.07%
,structure,0.07%
,sugar,0.07%
,nations,0.07%
,mangroves,0.07%
,information,0.07%
,footprint,0.07%
,forestry,0.07%
,elsevier,0.07%
,company,0.07%
,vegetation,0.07%
,southeast,0.07%
,methods,0.07%
,essential,0.07%
,chain,0.07%
,positive,0.07%
,india,0.07%
,fertilizer,0.07%
,fluxes,0.07%
,flux,0.07%
,electric,0.07%
,design,0.07%
,business,0.07%
,adoption,0.07%
,aquaculture,0.07%
,variables,0.07%
,type,0.07%
,unit,0.07%
,sites,0.07%
,road,0.07%
,season,0.07%
,multi,0.07%
,paddy,0.07%
,matter,0.07%
,income,0.07%
,goals,0.07%
,drought,0.07%
,trade,0.06%
,target,0.06%
,stock,0.06%
,relationship,0.06%
,province,0.06%
,regions,0.06%
,possible,0.06%
,mass,0.06%
,materials,0.06%
,levels,0.06%
,ipcc,0.06%
,issue,0.06%
,ecosystem,0.06%
,efforts,0.06%
,dynamics,0.06%
,domestic,0.06%
,aspects,0.06%
,resource,0.06%
,society,0.06%
,pome,0.06%
,public,0.06%
,population,0.06%
,panel,0.06%
,market,0.06%
,mean,0.06%
,industries,0.06%
,index,0.06%
,highly,0.06%
,extent,0.06%
,farms,0.06%
,distribution,0.06%
,degraded,0.06%
,day,0.06%
,benefits,0.06%
,available,0.06%
,wastewater,0.06%
,south,0.06%
,tax,0.06%
,social,0.06%
,record,0.06%
,rainfall,0.06%
,processes,0.06%
,rates,0.06%
,program,0.06%
,lowest,0.06%
,material,0.06%
,japan,0.06%
,findings,0.06%
,group,0.06%
,capita,0.06%
,better,0.06%
,alternative,0.06%
,anthropogenic,0.06%
,urbanization,0.05%
,timber,0.05%
,terms,0.05%
,specific,0.05%
,stocks,0.05%
,secondary,0.05%
,purpose,0.05%
,island,0.05%
,intensity,0.05%
,extraction,0.05%
,anaerobic,0.05%
,transport,0.05%
,stakeholders,0.05%
,people,0.05%
,mainly,0.05%
,input,0.05%
,knowledge,0.05%
,improvement,0.05%
,infrastructure,0.05%
,form,0.05%
,economies,0.05%
,farmers,0.05%
,equivalent,0.05%
,effective,0.05%
,district,0.05%
,costs,0.05%
,chemical,0.05%
,activity,0.05%
,agreement,0.05%
,work,0.05%
,vehicles,0.05%
,problem,0.05%
,regulation,0.05%
,parameters,0.05%
,novel,0.05%
,key,0.05%
,globally,0.05%
,fish,0.05%
,gwp,0.05%
,conventional,0.05%
,calculation,0.05%
,actions,0.05%
,awd,0.05%
,article,0.05%
,usual,0.05%
,united,0.05%
,way,0.05%
,sumatra,0.05%
,response,0.05%
,risk,0.05%
,rubber,0.05%
,satellite,0.05%
,science,0.05%
,rapid,0.05%
,problems,0.05%
,pressure,0.05%
,range,0.05%
,nutrient,0.05%
,paris,0.05%
,particularly,0.05%
,ocean,0.05%
,mix,0.05%
,manufacturing,0.05%
,ispo,0.05%
,grid,0.05%
,fruit,0.05%
,effort,0.05%
,density,0.05%
,crude,0.05%
,diesel,0.05%
,decomposition,0.05%
,cpo,0.05%
,building,0.05%
,biofuel,0.05%
,action,0.05%
,availability,0.05%
,thermal,0.04%
,solid,0.04%
,technologies,0.04%
,sugarcane,0.04%
,security,0.04%
,sciences,0.04%
,rise,0.04%
,price,0.04%
,present,0.04%
,plan,0.04%
,nitrogen,0.04%
,options,0.04%
,necessary,0.04%
,limited,0.04%
,models,0.04%
,literature,0.04%
,indirect,0.04%
,iso,0.04%
,inpari,0.04%
,kwh,0.04%
,institute,0.04%
,ghgs,0.04%
,friendly,0.04%
,events,0.04%
,evaluation,0.04%
,earth,0.04%
,experiment,0.04%
,environmentally,0.04%
,end,0.04%
,engine,0.04%
,crop,0.04%
,decision,0.04%
,biodiversity,0.04%
,capital,0.04%
,urban,0.04%
,variable,0.04%
,values,0.04%
,springer,0.04%
,survey,0.04%
,rspo,0.04%
,option,0.04%
,nature,0.04%
,overall,0.04%
,multiple,0.04%
,likely,0.04%
,locations,0.04%
,mining,0.04%
,ltd,0.04%
,location,0.04%
,jakarta,0.04%
,goal,0.04%
,gasses,0.04%
,east,0.04%
,ecosystems,0.04%
,efficient,0.04%
,criteria,0.04%
,coffee,0.04%
,challenges,0.04%
,combustion,0.04%
,commitment,0.04%
,common,0.04%
,able,0.04%
,yields,0.04%
,tool,0.04%
,uncertainty,0.04%
,university,0.04%
,storage,0.04%
,spatial,0.04%
,students,0.04%
,times,0.04%
,technical,0.04%
,standard,0.04%
,state,0.04%
,states,0.04%
,similar,0.04%
,properties,0.04%
,reductions,0.04%
,recent,0.04%
,recycling,0.04%
,plastic,0.04%
,potentially,0.04%
,previous,0.04%
,relatively,0.04%
,oxide,0.04%
,logistics,0.04%
,manure,0.04%
,ice,0.04%
,indian,0.04%
,groups,0.04%
,ground,0.04%
,estimation,0.04%
,difference,0.04%
,complex,0.04%
,currently,0.04%
,crops,0.04%
,contributor,0.04%
,contributors,0.04%
,best,0.04%
,canopy,0.04%
,certification,0.04%
,bacteria,0.04%
,attention,0.04%
,approximately,0.04%
,traditional,0.04%
,usage,0.04%
,variation,0.04%
,speed,0.04%
,sub,0.04%
,stage,0.04%
,thailand,0.04%
,temperatures,0.04%
,soils,0.04%
,russia,0.04%
,review,0.04%
,simulation,0.04%
,root,0.04%
,priority,0.04%
,regression,0.04%
,real,0.04%
,remote,0.04%
,planning,0.04%
,pellets,0.04%
,petroleum,0.04%
,open,0.04%
,media,0.04%
,financial,0.04%
,household,0.04%
,greater,0.04%
,groundwater,0.04%
,general,0.04%
,generally,0.04%
,half,0.04%
,good,0.04%
,diversity,0.04%
,drainage,0.04%
,dominant,0.04%
,european,0.04%
,context,0.04%
,damage,0.04%
,control,0.04%
,contributions,0.04%
,commercial,0.04%
,ccs,0.04%
,brazil,0.04%
,canal,0.04%
,australia,0.04%
,asian,0.04%
,africa,0.04%
,aim,0.04%
,west,0.03%
,worldwide,0.03%
,understanding,0.03%
,riau,0.03%
,size,0.03%
,rural,0.03%
,residue,0.03%
,raw,0.03%
,programs,0.03%
,plastics,0.03%
,producers,0.03%
,nationally,0.03%
,pellet,0.03%
,need,0.03%
,operation,0.03%
,milk,0.03%
,methodology,0.03%
,medium,0.03%
,losses,0.03%
,kupang,0.03%
,increasingly,0.03%
,flow,0.03%
,geothermal,0.03%
,gdp,0.03%
,exchange,0.03%
,feasibility,0.03%
,differences,0.03%
,decades,0.03%
,depth,0.03%
,days,0.03%
,copyright,0.03%
,atmospheric,0.03%
,appropriate,0.03%
,adaptation,0.03%
,ash,0.03%
,usd,0.03%
,wastes,0.03%
,vulnerability,0.03%
,turbine,0.03%
,targets,0.03%
,suitable,0.03%
,steam,0.03%
,solution,0.03%
,success,0.03%
,respiration,0.03%
,smallholders,0.03%
,residential,0.03%
,services,0.03%
,pollutant,0.03%
,projects,0.03%
,regency,0.03%
,relevant,0.03%
,outcomes,0.03%
,msw,0.03%
,nitrous,0.03%
,load,0.03%
,larger,0.03%
,modeling,0.03%
,maximum,0.03%
,irrigation,0.03%
,influence,0.03%
,gasification,0.03%
,germany,0.03%
,governance,0.03%
,evidence,0.03%
,edp,0.03%
,existence,0.03%
,drivers,0.03%
,factory,0.03%
,electrical,0.03%
,dispersal,0.03%
,crucial,0.03%
,despite,0.03%
,concept,0.03%
,combination,0.03%
,biological,0.03%
,categories,0.03%
,access,0.03%
,tree,0.03%
,useful,0.03%
,wind,0.03%
,vegetable,0.03%
,vehicle,0.03%
,volumes,0.03%
,vietnam,0.03%
,varieties,0.03%
,test,0.03%
,tempeh,0.03%
,techniques,0.03%
,sulawesi,0.03%
,structural,0.03%
,support,0.03%
,surabaya,0.03%
,swampland,0.03%
,substantial,0.03%
,service,0.03%
,resolution,0.03%
,samples,0.03%
,scientific,0.03%
,requirement,0.03%
,sequestration,0.03%
,short,0.03%
,reclamation,0.03%
,relative,0.03%
,producer,0.03%
,planting,0.03%
,occurrence,0.03%
,pavement,0.03%
,north,0.03%
,physics,0.03%
,peats,0.03%
,old,0.03%
,mode,0.03%
,legal,0.03%
,livestock,0.03%
,individual,0.03%
,islands,0.03%
,integration,0.03%
,gross,0.03%
,empirical,0.03%
,efb,0.03%
,equation,0.03%
,drilling,0.03%
,conclusion,0.03%
,concrete,0.03%
,diet,0.03%
,digital,0.03%
,comprehensive,0.03%
,benefit,0.03%
,committee,0.03%
,budget,0.03%
,capture,0.03%
,board,0.03%
,audit,0.03%
